Datetime,Open,High,Low,Close,Volume
2024-06-12,45.0,47.25,45.0,47.25,964000
2024-06-13,49.61,49.61,49.61,49.61,80000
2024-06-14,52.09,52.09,52.09,52.09,80000
2024-06-18,54.69,54.69,54.69,54.69,40000
2024-06-19,57.42,57.42,57.42,57.42,20000
2024-06-20,60.29,60.29,54.55,58.32,1128000
2024-06-21,55.41,55.41,55.41,55.41,48000
2024-06-24,52.64,52.64,52.64,52.64,12000
2024-06-25,50.01,50.01,50.01,50.01,24000
2024-06-26,47.51,47.51,47.51,47.51,44000
2024-06-27,45.0,49.0,42.15,44.31,1016000
2024-06-28,42.2,46.98,42.2,45.89,212000
2024-07-01,45.89,45.89,43.0,43.14,160000
2024-07-02,44.98,45.5,44.0,44.0,104000
2024-07-03,42.92,43.5,42.2,42.95,88000
2024-07-04,43.1,43.25,42.3,42.46,76000
2024-07-05,42.15,43.03,41.0,43.03,104000
2024-07-08,44.0,44.0,41.0,42.09,128000
2024-07-09,40.54,40.85,40.05,40.13,36000
2024-07-10,40.0,40.0,36.85,38.0,120000
2024-07-11,38.15,40.5,38.1,40.34,116000
2024-07-12,40.34,40.34,38.61,38.83,52000
2024-07-15,38.83,39.1,38.83,39.1,20000
2024-07-16,39.0,39.65,38.38,39.65,16000
2024-07-18,39.65,40.0,38.51,39.17,40000
2024-07-19,38.0,39.2,37.21,38.67,44000
2024-07-22,38.0,38.0,37.15,37.2,20000
2024-07-23,38.99,39.9,37.65,39.85,76000
2024-07-25,38.1,39.6,38.1,38.65,20000
2024-07-26,38.65,39.7,37.95,37.95,32000
2024-07-29,37.95,37.99,37.15,37.43,16000
2024-07-30,38.98,38.98,38.98,38.98,4000
2024-07-31,37.15,37.89,37.15,37.16,24000
2024-08-01,37.16,37.16,37.16,37.16,4000
2024-08-02,38.88,38.88,37.5,38.4,20000
2024-08-05,34.15,38.35,34.15,38.2,24000
2024-08-06,36.45,36.45,36.45,36.45,8000
2024-08-07,37.0,38.75,37.0,37.2,12000
2024-08-09,38.85,38.85,37.0,37.0,16000
2024-08-12,34.3,35.59,34.3,35.15,48000
2024-08-13,35.45,35.5,34.1,34.1,44000
2024-08-14,34.25,34.3,34.1,34.1,12000
2024-08-16,34.9,35.0,34.4,34.53,36000
2024-08-19,34.55,34.6,34.53,34.53,20000
2024-08-21,33.8,33.8,33.8,33.8,4000
2024-08-22,33.8,33.8,32.5,33.0,40000
2024-08-23,33.0,33.8,33.0,33.75,20000
2024-08-26,34.99,34.99,33.1,33.12,20000
2024-08-27,33.78,34.0,33.7,34.0,12000
2024-08-28,32.5,33.4,32.34,32.52,32000
2024-08-29,32.7,32.7,32.7,32.7,4000
2024-08-30,32.7,32.7,32.65,32.68,12000
2024-09-03,32.7,33.11,32.7,33.0,36000
2024-09-05,33.4,33.4,32.0,32.0,24000
2024-09-06,31.0,31.0,31.0,31.0,4000
2024-09-09,30.5,30.5,30.0,30.0,32000
2024-09-10,31.0,31.0,31.0,31.0,12000
2024-09-11,31.0,31.0,31.0,31.0,4000
2024-09-13,32.2,32.2,32.0,32.0,8000
2024-09-17,30.2,30.96,30.2,30.96,8000
2024-09-19,29.5,30.5,29.5,29.63,20000
2024-09-20,29.65,29.65,29.65,29.65,8000
2024-09-23,29.6,29.6,28.5,28.7,20000
2024-09-25,29.95,30.25,29.9,30.25,28000
2024-09-26,34.85,34.85,31.2,31.2,28000
2024-09-27,31.2,31.2,31.2,31.2,4000
2024-10-03,30.1,30.1,28.51,28.7,16000
2024-10-04,29.0,30.6,29.0,30.54,12000
2024-10-18,29.5,29.5,29.5,29.5,4000
2024-10-23,29.5,29.5,29.5,29.5,8000
2024-10-28,28.5,28.5,28.5,28.5,4000
2024-10-29,28.5,28.5,28.5,28.5,4000
2024-10-30,28.5,28.5,28.5,28.5,4000
2024-10-31,29.95,30.48,29.95,30.48,20000
2024-11-05,31.95,32.0,31.95,32.0,24000
2024-11-06,32.0,33.2,30.65,30.8,16000
2024-11-08,29.7,32.0,29.4,32.0,12000
