Datetime,Open,High,Low,Close,Volume
2026-09-08,221.0,222.0,193.0,194.37,50931963
2026-09-09,196.01,203.8,194.37,201.23,14453376
2026-09-10,203.1,203.8,193.6,196.04,4712667
2026-09-11,194.0,194.25,185.0,185.86,3500638
2026-09-15,185.87,187.62,165.0,169.14,3282691
2026-09-16,173.99,174.49,164.79,171.82,3436863
2026-09-17,173.5,175.39,170.1,173.34,1418179
2026-09-18,175.3,191.49,171.38,188.31,7608515
2026-09-21,189.0,189.7,182.15,183.06,1313474
