Datetime,Open,High,Low,Close,Volume
2026-04-10,16.57,16.75,16.57,16.74,8983
2026-04-13,16.82,16.82,16.35,16.61,20118
2026-04-15,16.9,16.95,16.81,16.86,19451
2026-04-16,16.93,16.98,16.73,16.73,22015
2026-04-17,16.73,16.87,16.73,16.87,6969
2026-04-20,17.18,17.18,16.85,16.86,7807
2026-04-21,17.03,17.16,17.03,17.14,4003
2026-04-22,17.14,17.14,16.94,17.01,7972
2026-04-23,16.85,16.91,16.72,16.8,57519
2026-04-24,16.8,16.8,16.63,16.72,25377
2026-04-27,16.72,16.76,16.64,16.74,2584
2026-04-28,16.68,16.77,16.48,16.51,3776
2026-04-29,16.59,16.66,16.48,16.48,23208
2026-04-30,16.48,16.48,16.17,16.35,22266
2026-05-04,16.42,16.53,16.27,16.34,2076
2026-05-05,16.28,16.29,16.1,16.22,19184
2026-05-06,16.31,16.65,16.18,16.65,12043
2026-05-07,16.98,16.98,16.6,16.65,23493
2026-05-08,16.65,16.65,16.34,16.39,10309
2026-05-11,16.25,16.29,16.11,16.15,2017
2026-05-12,16.15,16.15,15.9,15.93,12896
2026-05-13,15.92,16.95,15.8,16.07,43182
2026-05-14,16.0,16.19,15.83,16.07,3241
2026-05-15,16.07,16.22,16.06,16.07,2403
2026-05-18,16.07,16.9,15.75,16.06,3041
2026-05-19,16.06,16.76,15.9,15.98,3147
2026-05-20,15.98,16.0,15.81,15.98,2301
2026-05-21,15.98,15.99,15.94,15.96,10384
2026-05-22,16.15,16.2,16.1,16.16,1094
2026-05-25,16.48,16.48,16.31,16.46,18447
2026-05-26,16.47,16.58,16.39,16.41,6208
2026-05-27,16.41,16.41,16.23,16.25,33623
2026-05-29,16.29,16.34,16.11,16.2,3183
2026-06-01,16.28,16.28,15.82,15.94,16066
2026-06-02,15.79,16.28,15.76,15.93,2255
